layer,train_acc,test_acc,test_f1
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,1.0,1.0,1.0
11,1.0,1.0,1.0
12,1.0,1.0,1.0
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,1.0,1.0,1.0
16,1.0,1.0,1.0
17,1.0,0.9875,0.9874980465697765
18,1.0,0.9875,0.9874980465697765
19,1.0,0.9875,0.9874980465697765
20,1.0,0.9875,0.9874980465697765
21,1.0,0.9875,0.9874980465697765
22,1.0,0.9875,0.9874980465697765
23,1.0,0.9875,0.9874980465697765
24,1.0,0.975,0.975
25,1.0,0.9875,0.9874980465697765
26,1.0,0.9625,0.9624941397093296
