layer,train_acc,test_acc,test_f1
0,0.996875,0.975,0.9749843652282677
1,1.0,0.9875,0.9874980465697765
2,1.0,0.9875,0.9874980465697765
3,1.0,0.9625,0.9624941397093296
4,1.0,0.9625,0.9624941397093296
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,0.9625,0.9624941397093296
8,1.0,0.9625,0.9624941397093296
9,1.0,0.95,0.95
10,1.0,0.925,0.925
11,1.0,0.925,0.9249530956848031
12,1.0,0.9,0.8999374609130707
13,1.0,0.9125,0.9124863259884357
14,1.0,0.9,0.8999374609130707
15,1.0,0.9,0.899749373433584
16,1.0,0.9375,0.9372549019607843
17,1.0,0.8125,0.8124706985466479
18,1.0,0.7125,0.7120951337818808
19,1.0,0.6625,0.6624472573839661
20,1.0,0.7375,0.7374589779653071
21,1.0,0.725,0.725
22,1.0,0.725,0.7248280175109443
23,1.0,0.7,0.699812382739212
24,1.0,0.7,0.7
25,1.0,0.675,0.6747967479674797
26,1.0,0.6625,0.6620247222656861
