layer	cos_seq	cos_tok
0	0.975353	0.949402
1	0.963067	0.934007
2	0.952052	0.908611
3	0.949972	0.898820
4	0.937838	0.884188
5	0.941029	0.870862
6	0.937365	0.848178
7	0.929753	0.845803
8	0.917520	0.825455
9	0.918518	0.826343
10	0.906392	0.819699
11	0.892662	0.805263
12	0.883149	0.783828
13	0.855414	0.736112
14	0.793177	0.685200
15	0.721890	0.618080
16	0.645080	0.549010
17	0.577979	0.492741
18	0.485399	0.413350
19	0.456031	0.384285
20	-0.014921	0.003074
21	0.004283	0.001632
22	-0.010500	0.002221
23	-0.013003	-0.002479
24	-0.010508	-0.003842
25	-0.032443	-0.004715
